URL da manifestação,Titulo,categoria,Situação,Registro,Alteração,Tipo,Nº Mês
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150818150225,Operação tapa-buraco e calçada de terreno particular,OBRAS,Aceito,18/08/15,20/08/2015 15:47,Solicitação,8
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150624152440,orientação,ORIENTAÇÃO,Resolvida,24/06/15,24/06/2015 15:27,Dúvida,6
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150624152928,Orientação,ORIENTAÇÃO,Resolvida,24/06/15,24/06/2015 15:31,Dúvida,6
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150521081032,ouvidoria e 156,ORIENTAÇÃO,Resolvida,21/05/15,11/06/2015 11:14,Dúvida,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150821142904,Pavimentação asfáltica,OBRAS,Pendente,21/08/15,21/08/2015 14:29,Solicitação,8
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150525160749,pedido de acesso a informação lei 12.527/11,LAI,Resolvida,25/05/15,21/07/2015 11:54,Pedido de acesso à informação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150715173544,Pedido de asfalto não atendido.,OBRAS,Tramitando,15/07/15,06/08/2015 14:11,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150708094652,Pedido de Poda de Árvore,PODA,Tramitando,08/07/15,06/08/2015 11:55,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150520155407,Pista de skate,ESPORTE-LAZER,Resolvida,20/05/15,21/07/2015 11:37,Denúncia,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150702083723,PLACA COM A INDICAÇÃO UNIDADE DE SAÚDE COA-,OUVIDORIA SAUDE,Resolvida,02/07/15,02/07/2015 08:38,Sugestão,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150713101631,Placa de Estar,URBS,Pendente,13/07/15,13/07/2015 10:16,Solicitação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150731110554,PLACA SINALIZAÇÃO E GRADE,URBS,Pendente,31/07/15,31/07/2015 11:16,Denúncia,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150805113341,Poda de árvore,PODA,Tramitando,05/08/15,05/08/2015 15:03,Dúvida,8
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150805151335,Poda de árvore,PODA,Pendente,05/08/15,05/08/2015 15:13,Reclamação,8
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150708084537,Poda de árvore,PODA,Tramitando,08/07/15,06/08/2015 11:50,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150713103731,Poda de árvores,PODA,Tramitando,13/07/15,06/08/2015 13:43,Solicitação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150813173235,Poda de galhos de árvore,PODA,Aceito,13/08/15,20/08/2015 15:17,Solicitação,8
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150731103708,poda de galhos de árvores e limpeza de logradouro público,PODA,Tramitando,31/07/15,20/08/2015 10:22,Solicitação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150727145141,PODA DE MANUTENÇÃO EM VIA PÚBLICA,PODA,Tramitando,27/07/15,06/08/2015 13:38,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150721094934,Programa para o Idoso,ESPORTE-LAZER,Pendente,21/07/15,21/07/2015 09:49,Solicitação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150729232746,protocolo dado como concluido no 156,156,Pendente,29/07/15,29/07/2015 23:27,Reclamação,7
