URL da manifestação,Titulo,Situação,Registro,Alteração,Tipo,Nº Mês
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150729233604,solicitação no 156 dado como concluido.por que?,Pendente,29/07/15,29/07/2015 23:36,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150729234824,Falta de resposta em protocolo 156 - transparência não existe?,Pendente,29/07/15,29/07/2015 23:48,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150730083716,Concurso Publico Guarda Municipal de Curitiba - Banca UFPR,Pendente,30/07/15,30/07/2015 08:37,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150730105418,Troca de lâmpada urgente,Tramitando,30/07/15,06/08/2015 13:58,Denúncia,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150730113913,RELOCAÇÃO DE CAIXA DE CAPTAÇÃO,Tramitando,30/07/15,06/08/2015 14:10,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150730162448,PUBLICIDADE IRREGULAR EM VIA PÚBLICA,Resolvida,30/07/15,06/08/2015 14:24,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150731103708,poda de galhos de árvores e limpeza de logradouro público,Tramitando,31/07/15,20/08/2015 10:22,Solicitação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150731104051,Iluminação pública,Tramitando,31/07/15,20/08/2015 10:23,Solicitação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150731110554,PLACA SINALIZAÇÃO E GRADE,Pendente,31/07/15,31/07/2015 11:16,Denúncia,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150731112133,Falta de atendimento Setran,Aceito,31/07/15,20/08/2015 10:24,Denúncia,7
