http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160419104904 - setran|fiscalização de trânsito
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160419111726 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160419165203 - smop|fiscalização de obras
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160419165612 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160419170944 - smma|poda de árvore
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160420101208 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160420104355 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160420160552 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160420163218 - smop|erosão em galeria de águas pluviais
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160421193732 - smma|corte de árvore
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160422142251 - smma|coleta de caliça
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160422170804 - smma|fiscalização de saneamento
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160425083918 - smma|coleta de entulho
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160425100849 - smma|coleta de lixo vegetal
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160425103228 - smma|inspeção mosquito da dengue
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160425104037 - setran|fiscalização de trânsito
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160425104618 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160425140209 - smma|coleta de caliça
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160425142834 - smma|coleta de lixo vegetal
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160425152224 - smma|coleta de lixo vegetal
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160425170428 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160425202332 - smop|iluminação pública
